Date,Open,High,Low,Close,Difference,Shares Traded,Turnover (Rs. Cr),EHL,VHL,HL,N,HP,VHP,EHP,Status
22-Sep-11,5054.45,5059.85,4907.75,4923.65,130.8,147608376,5675.35,0,0,0,0,0,1,0,5
23-Sep-11,4873.75,4930.25,4829.6,4867.75,6,205769423,7364.65,0,0,0,1,0,0,0,3
26-Sep-11,4878.6,4879.8,4758.85,4835.4,43.2,156079487,5475.64,0,0,0,0,1,0,0,4
27-Sep-11,4905.15,4982.95,4905.15,4971.25,-66.1,151313966,5284.66,0,1,0,0,0,0,0,1
28-Sep-11,5005.5,5006.05,4918.45,4945.9,59.6,166872414,6078.49,0,0,0,0,0,1,0,5
29-Sep-11,4924.2,5034.25,4906,5015.45,-91.25,216156088,8284.97,0,1,0,0,0,0,0,1
30-Sep-11,4990.15,5025.55,4924.3,4943.25,46.9,201962105,6764.12,0,0,0,0,1,0,0,4
03-Oct-11,4874.4,4879.15,4823.9,4849.5,24.9,148921569,5230.17,0,0,0,0,1,0,0,4
04-Oct-11,4823.5,4869.75,4728.3,4772.15,51.35,184413296,6736.87,0,0,0,0,0,1,0,5
05-Oct-11,4791.3,4827.8,4741,4751.3,40,179140481,6385.35,0,0,0,0,1,0,0,4
07-Oct-11,4883.65,4922.6,4861.2,4888.05,-4.4,198288782,6914.62,0,0,0,1,0,0,0,3
10-Oct-11,4886.85,4991.15,4882.05,4979.6,-92.75,188839545,6247.21,0,1,0,0,0,0,0,1
11-Oct-11,5019.9,5045.1,4964,4974.35,45.55,182038763,6386.8,0,0,0,0,1,0,0,4
12-Oct-11,5011.2,5109.8,4997.65,5099.4,-88.2,188008562,7528.09,0,1,0,0,0,0,0,1
13-Oct-11,5130.8,5136.95,5067.65,5077.85,52.95,157302816,6319.82,0,0,0,0,0,1,0,5
14-Oct-11,5057.35,5141.4,5056.6,5132.3,-74.95,157781872,6140.27,0,1,0,0,0,0,0,1
17-Oct-11,5156.2,5160.2,5084.5,5118.25,37.95,130460983,5029.13,0,0,0,0,1,0,0,4
18-Oct-11,5049.45,5057.5,5011.05,5037.5,11.95,125550565,5148.86,0,0,0,1,0,0,0,3
19-Oct-11,5080.45,5148.05,5075.3,5139.15,-58.7,117468754,4776.09,0,1,0,0,0,0,0,1
20-Oct-11,5086.55,5099,5033.95,5091.9,-5.35,119333986,4582.47,0,0,0,1,0,0,0,3
21-Oct-11,5106.6,5120.75,5037.95,5049.95,56.65,109893599,4733.71,0,0,0,0,0,1,0,5
24-Oct-11,5114.7,5145.65,5084.75,5098.35,16.35,126073195,4927.43,0,0,0,0,1,0,0,4
25-Oct-11,5137.9,5211,5085.55,5191.6,-53.7,221084588,9967.24,0,1,0,0,0,0,0,1
26-Oct-11,5214.95,5219.25,5196.15,5201.8,13.15,27496887,1059.46,0,0,0,1,0,0,0,3
28-Oct-11,5341.9,5399.7,5322.8,5360.7,-18.8,246078412,9151.2,0,0,1,0,0,0,0,2
31-Oct-11,5358.9,5360.25,5314.6,5326.6,32.3,149483502,5937.99,0,0,0,0,1,0,0,4
01-Nov-11,5278.6,5310.85,5238.3,5257.95,20.65,152491922,5651.67,0,0,0,0,1,0,0,4
02-Nov-11,5216.75,5300.1,5204.95,5258.45,-41.7,144375106,4918.34,0,1,0,0,0,0,0,1
03-Nov-11,5241.55,5281.6,5201.85,5265.75,-24.2,160282802,5716.17,0,0,1,0,0,0,0,2
04-Nov-11,5325.4,5326.45,5256.8,5284.2,41.2,149015829,5401.13,0,0,0,0,1,0,0,4
08-Nov-11,5292.25,5304.25,5252,5289.35,2.9,120652007,4159.75,0,0,0,1,0,0,0,3
09-Nov-11,5309.7,5317.5,5211.75,5221.05,88.65,146428609,6720.83,0,0,0,0,0,1,0,5
11-Nov-11,5159.75,5198.6,5142.25,5168.85,-9.1,168514208,6929.85,0,0,0,1,0,0,0,3
14-Nov-11,5217.35,5228.9,5140.55,5148.35,69,134448100,5263.81,0,0,0,0,0,1,0,5
15-Nov-11,5131.2,5158.75,5052.85,5068.5,62.7,149592578,5201.21,0,0,0,0,0,1,0,5
16-Nov-11,5059.1,5065.2,4989.5,5030.45,28.65,161406885,5757.81,0,0,0,0,1,0,0,4
17-Nov-11,5027.1,5036.8,4919.45,4934.75,92.35,149238976,5277.65,0,0,0,0,0,1,0,5
